statename,rank,hs6,abbreviatn,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Connecticut,11,711319,"JEWELRY AND PARTS THEREOF, OF OTH PRECIOUS ME",305.75,303.67,174.99,260.19,1.4179,1.2696,0.6739,1.2204,48.68
Connecticut,12,790111,ZINC UNWRT NT ALY CNT WGT AT LST 99.99 PERCNT,100.16,195.26,197.22,201.5,0.4645,0.8163,0.7595,0.9451,2.17
Connecticut,13,710812,"GOLD, NONMONETARY, UNWROUGHT NESOI",13.95,182.51,190.22,196.62,0.0647,0.763,0.7325,0.9223,3.36
Connecticut,14,940161,"SEATS W WOODEN FRAMES, UPHOLSTERED, NESOI",83.23,89.95,107.03,164.4,0.386,0.3761,0.4121,0.7711,53.61
Connecticut,15,90111,"COFFEE, NOT ROASTED, NOT DECAFFEINATED",83.44,117.37,152.34,148.85,0.3869,0.4907,0.5867,0.6982,-2.29
Connecticut,16,720241,FERROCHROMIUM OVER 4 PERCENT CARBON,169.07,266.87,120.17,147.88,0.784,1.1157,0.4628,0.6936,23.05
Connecticut,17,841112,TURBOJETS OF A THRUST EXCEEDING 25 KN,90.47,41.2,47.8,129.55,0.4195,0.1723,0.1841,0.6077,171.04
Connecticut,18,640399,"FOOTWEAR, OUTER SOLE RUB ETC & LEATHER UPPER",236.78,208.62,145.72,122.37,1.098,0.8722,0.5612,0.574,-16.02
Connecticut,19,841459,"FANS, NESOI",112.84,118.73,121.74,118.41,0.5233,0.4964,0.4688,0.5554,-2.74
Connecticut,20,640391,"FOOTWEAR, OUT SOLE RUB ETC & UP LEA NESOI, AN",136.86,177.95,137.39,116.16,0.6347,0.744,0.5291,0.5449,-15.45
Connecticut,21,821210,RAZORS,84.34,117.09,135.16,115.16,0.3911,0.4895,0.5205,0.5402,-14.79
Connecticut,22,220421,"WINE, FR GRAPE NESOI & GR MUST W ALC, NOV 2 L",69.4,72.24,73.29,111.19,0.3218,0.302,0.2822,0.5216,51.72
Connecticut,23,293379,LACTAMS (EXCLUDING 6-HEXANELACTAM) NESOI,24.85,12.29,144.27,99.22,0.1152,0.0514,0.5556,0.4654,-31.23
Connecticut,24,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,63.97,76.96,100.09,91,0.2967,0.3218,0.3854,0.4269,-9.08
Connecticut,25,300439,HORMONES ETC. (NO ANTIBIOTICS CONTAINED) DOSA,0.53,39.15,80.88,89.36,0.0024,0.1637,0.3115,0.4191,10.48
Delaware,0,0,World,10132.24,10739.04,9234.3,7556.38,0.4468,0.4557,0.4107,0.3454,-18.17
Delaware,0,25,Top 25,7367.26,7910.8,7018.3,5593.81,72.7111,73.6639,76.0025,74.0276,-20.3
Delaware,1,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,2043.23,2919.14,1808.79,1416.06,20.1657,27.1825,19.5878,18.74,-21.71
Delaware,2,293399,HETEROCYCLIC COMP W NITROGEN HETERO-ATM ONLY,198.76,13.75,142.98,881.08,1.9617,0.128,1.5483,11.6601,516.25
Delaware,3,300432,MEDICAMENTS CONT CORTEX HORMONES ETC DOSES,525.24,706.86,936.92,671.34,5.1839,6.5822,10.146,8.8844,-28.35
Delaware,4,293499,NUCLEIC ACIDS & SALTS; OTHER HETEROCYCLIC CMP,1099.19,1304.71,1625.77,518.14,10.8484,12.1492,17.6058,6.8569,-68.13
Delaware,5,80390,"BANANAS, FRESH OR DRIED, NESOI",444.18,469.37,499.63,510.73,4.3838,4.3707,5.4105,6.7589,2.22
Delaware,6,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",621.01,1106.35,912.48,372.65,6.1291,10.3022,9.8814,4.9316,-59.16
Delaware,7,271012,"LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIOD",147.28,159.76,141.59,222.13,1.4536,1.4876,1.5333,2.9397,56.89
Delaware,8,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,1602.07,496.37,236.59,159.69,15.8116,4.6221,2.5621,2.1133,-32.5
Delaware,9,80610,"GRAPES, FRESH",148.59,156.32,123.03,136.76,1.4665,1.4556,1.3323,1.8099,11.16
Delaware,10,80430,"PINEAPPLES, FRESH OR DRIED",68.45,81.16,79.69,99.92,0.6755,0.7558,0.863,1.3224,25.39
Delaware,11,293339,CMPDS CONT AN UNFUSED PYRIDINE RING ETC NESOI,58.82,71.98,55.81,78.86,0.5806,0.6702,0.6044,1.0436,41.31
Delaware,12,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",0.3,2.51,47.59,61.73,0.003,0.0234,0.5154,0.8169,29.71
Delaware,13,850710,LEAD-ACID BATTERIES OF A KIND USED FOR STG EN,0.59,8.31,16.1,57.88,0.0058,0.0774,0.1744,0.766,259.48
Delaware,14,854390,"PT ELEC MACH & APPR W INDIVIDUAL FUNCTIONS, N",2.6,23.21,29.8,55.97,0.0257,0.2161,0.3227,0.7408,87.83
Delaware,15,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",65.5,137.69,122.24,50,0.6465,1.2821,1.3238,0.6617,-59.1
Delaware,16,711890,"COIN, NESOI",55.9,28.98,24.3,42.71,0.5517,0.2698,0.2632,0.5653,75.76
Delaware,17,390461,"POLYTETRAFLUOROETHYLENE (PTFE), PR FMS",22.74,25.25,23.73,33.05,0.2245,0.2351,0.257,0.4374,39.26
Delaware,18,390469,"FLUORO-POLYMERS NESOI, IN PRIMARY FORMS",32.86,37.16,34.04,32.82,0.3243,0.346,0.3686,0.4343,-3.6
Delaware,19,470329,"CHEM WOODPULP, SODA ETC, N DIS S BL & BL NONC",0,0,0,31.41,0,0,0,0.4157,0
Delaware,20,391310,"ALGINIC ACID,ITS SALTS AND ESTERS, PR FMS",0.05,0.01,4.7,30.71,0.0005,0.0001,0.0509,0.4064,553.81
Delaware,21,300439,HORMONES ETC. (NO ANTIBIOTICS CONTAINED) DOSA,150.03,63.69,58.75,30.48,1.4807,0.5931,0.6363,0.4033,-48.13
Delaware,22,640399,"FOOTWEAR, OUTER SOLE RUB ETC & LEATHER UPPER",29.21,26.18,24.23,26.24,0.2883,0.2438,0.2624,0.3472,8.28
Delaware,23,722550,"FLT-RLD OTH ALLOY STL 600MM OM W, CLD-RLD",7.75,16.66,16.3,25.39,0.0764,0.1551,0.1765,0.3359,55.74
Delaware,24,390690,"ACRYLIC POLYMERS NESOI, IN PRIMARY FORMS",32.72,23.04,24.85,24.3,0.323,0.2146,0.2691,0.3216,-2.18
Delaware,25,290339,ACETYLENE TETRABRMD;ALKL BRMD;METHYLENE DIBRM,10.18,32.34,28.4,23.75,0.1004,0.3011,0.3076,0.3142,-16.39
District of Colombia,0,0,World,625.69,1104.97,913.06,486.78,0.0276,0.0469,0.0406,0.0222,-46.69
District of Colombia,0,25,Top 25,203.57,373.6,323.75,260.8,32.5353,33.8108,35.458,53.5776,-19.44
District of Colombia,1,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",28.24,171.2,114.83,74.56,4.5135,15.4937,12.576,15.3179,-35.06
District of Colombia,2,970110,"PAINTINGS, DRAWING AND PASTELS BY HAND",19.18,33.55,52.02,17.09,3.0653,3.0366,5.6969,3.5103,-67.15
District of Colombia,3,220421,"WINE, FR GRAPE NESOI & GR MUST W ALC, NOV 2 L",20.68,21.08,18.91,16.06,3.3054,1.9075,2.0709,3.299,-15.07
District of Colombia,4,200811,"PEANUTS, PREPARED OR PRESERVED, NESOI",8.44,12.9,14.13,11.54,1.3486,1.1675,1.5474,2.3706,-18.33
District of Colombia,5,853720,CONTROLS ETC W ELECT APPR F ELECT CONT OVER 1,1.41,0,0,11.03,0.226,0,0,2.265,0
District of Colombia,6,902720,CHROMATOGRAPHS AND ELECTROPHORESIS INSTRUMENT,0.04,0,0.02,10.22,0.0059,0,0.0025,2.1004,44259.93
District of Colombia,7,30441,"PACIFIC, ATLANTIC, DANUBE SALMON FILLET FRESH",1.99,4.19,6.02,10.02,0.3185,0.3791,0.6593,2.0593,66.53
District of Colombia,8,220830,WHISKIES,9.59,8.44,9.62,9.5,1.5332,0.7638,1.0537,1.9513,-1.27
District of Colombia,9,220860,VODKA,17.88,15.39,12.71,9.31,2.8579,1.3924,1.3915,1.9131,-26.7
District of Colombia,10,981000,"IMPORTS OF RELIGIOUS, EDUCATION, SCIENT ETC I",4.16,0.58,2.05,9.13,0.6643,0.0523,0.2243,1.8757,345.88
District of Colombia,11,20130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CH",0.64,2.21,7.58,7.72,0.1025,0.2003,0.8304,1.5855,1.79
District of Colombia,12,220820,GRAPE BRANDY,3.14,3.98,5.21,7.7,0.5014,0.3604,0.5708,1.5811,47.69
District of Colombia,13,490199,"PRINTED BOOKS, BROCHURES, ETC., NESOI",6.91,9.44,6.28,7.39,1.1043,0.854,0.688,1.5183,17.66
District of Colombia,14,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,10.89,13.07,8.43,6.8,1.7407,1.1831,0.9232,1.3961,-19.38
District of Colombia,15,220410,SPARKLING WINE OF FRESH GRAPES,4.41,5.75,6.73,6.28,0.7047,0.5204,0.737,1.2904,-6.65
District of Colombia,16,940340,"WOODEN KITCHEN FURNITURE, EXCEPT SEATS",3.68,2.49,5.71,6.04,0.5881,0.2255,0.6258,1.2403,5.66
District of Colombia,17,30214,ATLANTIC SALMON AND DANUBE SALMON FRESH OR CH,1.91,1.51,2.45,5.7,0.3057,0.1369,0.2685,1.1707,132.45
District of Colombia,18,970300,"ORIGINAL SCULPTURES AND STATUARY, IN ANY MATE",40.01,19.15,17.68,5.33,6.3949,1.7327,1.9368,1.0945,-69.87
District of Colombia,19,940320,METAL FURNITURE NESOI,1.69,2.43,2.96,5.21,0.2695,0.2202,0.324,1.0705,76.12
District of Colombia,20,902790,"PTS OF INST, PHYS/CHEM ANALYSIS ETC, NESOI",0.24,0.14,0.21,5.04,0.0384,0.0128,0.0235,1.0346,2251.77
District of Colombia,21,761090,"ALUMINUM STRUCTURES AND PARTS, NESOI",5.9,6.12,2.03,4.55,0.943,0.5535,0.2221,0.9343,124.27
District of Colombia,22,940360,"WOODEN FURNITURE, NESOI",4.82,3.47,3.44,3.74,0.7697,0.3137,0.3763,0.7682,8.84
District of Colombia,23,110220,CORN (MAIZE) FLOUR,4.56,5.46,4.48,3.7,0.729,0.4944,0.4903,0.7609,-17.26
District of Colombia,24,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",1.07,2.24,4.69,3.63,0.1704,0.2023,0.514,0.7454,-22.69
District of Colombia,25,300420,"ANTIBIOTICS NESOI, IN DOSAGE FORM",2.09,28.82,15.57,3.53,0.3344,2.6078,1.7049,0.7242,-77.35
Florida,0,0,World,72258.29,71850.13,73409.78,73625.97,3.186,3.0492,3.2653,3.3653,0.29
Florida,0,25,Top 25,26525.68,24434.44,25081.4,24773.7,36.7095,34.0075,34.1663,33.648,-1.23
Florida,1,710812,"GOLD, NONMONETARY, UNWROUGHT NESOI",5602.15,4334.72,3192.52,3583.58,7.753,6.033,4.3489,4.8673,12.25
Florida,2,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,1464.13,1369.8,2853.35,3436.28,2.0262,1.9065,3.8869,4.6672,20.43
Florida,3,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,2986.17,3049.45,2405.65,2325.24,4.1326,4.2442,3.277,3.1582,-3.34
Florida,4,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,4249.14,4613.94,3166.04,1724.95,5.8805,6.4216,4.3128,2.3428,-45.52
Florida,5,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,941.84,752.92,1238.86,1412.26,1.3034,1.0479,1.6876,1.9181,14
Florida,6,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",730.28,758.64,1251.94,881.94,1.0107,1.0559,1.7054,1.1979,-29.55
Florida,7,330300,PERFUMES AND TOILET WATERS,768.06,857.86,835.95,807.37,1.0629,1.194,1.1387,1.0966,-3.42
Florida,8,30441,"PACIFIC, ATLANTIC, DANUBE SALMON FILLET FRESH",656.19,751.18,699.66,786.49,0.9081,1.0455,0.9531,1.0682,12.41
Florida,9,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.",340.18,297.36,534.08,779.47,0.4708,0.4139,0.7275,1.0587,45.95
Florida,10,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",179.36,156.45,157.73,771.76,0.2482,0.2178,0.2149,1.0482,389.3
Florida,11,240210,"CIGARS, CHEROOTS & CIGARILLOS, CONTAINING TOB",578.69,626.38,726.27,768.92,0.8009,0.8718,0.9893,1.0444,5.87
Florida,12,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",1366.52,862.8,805.85,762.15,1.8912,1.2008,1.0977,1.0352,-5.42
Florida,13,470329,"CHEM WOODPULP, SODA ETC, N DIS S BL & BL NONC",890.95,754.07,784.88,659.63,1.233,1.0495,1.0692,0.8959,-15.96
Florida,14,30617,"SHRIMPS AND PRAWNS, FROZEN, NESOI",414.22,575.69,498.75,559.7,0.5732,0.8012,0.6794,0.7602,12.22
Florida,15,890392,"MOTORBOATS, OTHER THAN OUTBOARD MOTORBOATS",393.49,362.29,834.9,554,0.5446,0.5042,1.1373,0.7524,-33.64
Florida,16,710691,"SILVER, UNWROUGHT NESOI",488.97,384.96,531.61,548.64,0.6767,0.5358,0.7242,0.7452,3.2
Florida,17,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,552.55,559.13,443.65,531.63,0.7647,0.7782,0.6043,0.7221,19.83
Florida,18,711319,"JEWELRY AND PARTS THEREOF, OF OTH PRECIOUS ME",332.46,336.32,529.51,521.47,0.4601,0.4681,0.7213,0.7083,-1.52
Florida,19,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,294.6,322.06,429.66,514.59,0.4077,0.4482,0.5853,0.6989,19.77
Florida,20,271012,"LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIOD",2142.38,1247.27,1304.76,507.7,2.9649,1.7359,1.7774,0.6896,-61.09
Florida,21,848340,"GEARS; BALL OR ROLLER SCREWS; GEAR BOXES, ETC",215.58,323.99,354.89,484.87,0.2983,0.4509,0.4834,0.6586,36.63
Florida,22,80390,"BANANAS, FRESH OR DRIED, NESOI",336.93,395.14,387.07,483.33,0.4663,0.55,0.5273,0.6565,24.87
Florida,23,880230,"AIRPLANE & A/C UNLADEN WGHT > 2000, NOV 15000",235.15,283.61,430.3,465.38,0.3254,0.3947,0.5862,0.6321,8.15
Florida,24,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",359.76,456.01,424.22,462.15,0.4979,0.6347,0.5779,0.6277,8.94
Florida,25,850790,PTS ELECT STORAGE BATTERIES INC SEPARATORS TH,5.91,2.37,259.32,440.21,0.0082,0.0033,0.3532,0.5979,69.76
Georgia,0,0,World,75023.08,83876.05,88692.31,86185.41,3.3079,3.5596,3.9451,3.9394,-2.83
Georgia,0,25,Top 25,24236.64,28926.19,31930.83,32375.11,32.3056,34.4868,36.0018,37.5645,1.39
Georgia,1,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,6333.96,6989.43,8409.88,9101.92,8.4427,8.3331,9.4821,10.5609,8.23
Georgia,2,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,4285.35,6123.12,6726.02,4068.95,5.712,7.3002,7.5835,4.7212,-39.5
Georgia,3,300431,"MEDICAMENTS CONT INSULIN, NO ANTIBIOTICS, DOS",3151.13,4295.25,3923.01,2789.75,4.2002,5.1209,4.4232,3.2369,-28.89
Georgia,4,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,1110.15,719.59,1056.33,1500.64,1.4798,0.8579,1.191,1.7412,42.06
Georgia,5,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",890.08,760.9,845.89,1277.77,1.1864,0.9072,0.9537,1.4826,51.06
Georgia,6,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",201.43,525.33,514.29,1086.62,0.2685,0.6263,0.5799,1.2608,111.28
Georgia,7,740311,REFINED COPPER CATHODES AND SECTIONS OF CATHO,596.64,531.62,880.92,953.56,0.7953,0.6338,0.9932,1.1064,8.25
Georgia,8,950300,"TRICYCLE, SCOOTR, PEDAL CAR & SIM WHEELED TYS",636.28,956.61,880.28,892.66,0.8481,1.1405,0.9925,1.0357,1.41
Georgia,9,330210,MIXTURES ODORIFEROUS SUBSTANCE USE FOOD/ DRIN,488.64,548.05,628.94,840.99,0.6513,0.6534,0.7091,0.9758,33.72
Georgia,10,852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NE",440.93,461.53,468.04,816.42,0.5877,0.5503,0.5277,0.9473,74.43
Georgia,11,391810,"FLOOR, WALL, ETC COVERS, VINYL CHLORIDE POLYM",316.67,335.94,498.76,805.92,0.4221,0.4005,0.5623,0.9351,61.59
Georgia,12,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,675.23,1012.1,697.11,729.34,0.9,1.2067,0.786,0.8462,4.62
Georgia,13,940510,CHANDELIER CEILNG/WALL LGHTNG FTTNG EX PUBLIC,614.36,653.43,735.24,719.21,0.8189,0.779,0.829,0.8345,-2.18
Georgia,14,401110,"NEW PNEUMATIC TIRES OF RUBBER, FOR MOTOR CARS",674.11,740.55,737.8,706.65,0.8985,0.8829,0.8319,0.8199,-4.22
Georgia,15,854140,PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL,143.96,94.32,289.62,687.49,0.1919,0.1125,0.3265,0.7977,137.38
Georgia,16,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",541.4,648.48,650.08,668.98,0.7216,0.7731,0.733,0.7762,2.91
Georgia,17,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.",349.7,392.81,403.31,657.05,0.4661,0.4683,0.4547,0.7624,62.92
Georgia,18,300210,"ANTISERA, BLOOD FRACTIONS & IMMUNOLOGICAL PRO",26.07,40.45,195.7,618.08,0.0348,0.0482,0.2207,0.7171,215.82
Georgia,19,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES",535.26,532.08,529.07,593.99,0.7135,0.6344,0.5965,0.6892,12.27
Georgia,20,842952,MECH SHOVELS EXCAVATORS ETC W 360 DEGREE SPRS,578.98,701.38,669.89,565.1,0.7717,0.8362,0.7553,0.6557,-15.64
Georgia,21,842720,"SELF-PROPELLED WORKS TRUCKS AND FORKLIFTS, NE",211.43,233.34,394.2,494.28,0.2818,0.2782,0.4445,0.5735,25.39
Georgia,22,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,453.16,508.08,608.55,476.32,0.604,0.6058,0.6861,0.5527,-21.73
Georgia,23,870840,GEAR BOXES FOR MOTOR VEHICLES,450.56,607.49,524.41,450.97,0.6006,0.7243,0.5913,0.5233,-14
Georgia,24,940320,METAL FURNITURE NESOI,332.52,349.63,456.21,450.95,0.4432,0.4168,0.5144,0.5232,-1.15
Georgia,25,901380,"OPTICAL DEVICES, APPLIANCES AND INSTRUMENTS,",198.63,164.66,207.27,421.48,0.2648,0.1963,0.2337,0.489,103.35
Hawaii,0,0,World,6097.34,5329.2,3755.95,2930.99,0.2688,0.2262,0.1671,0.134,-21.96
Hawaii,0,25,Top 25,4425.19,3823.08,2630.73,2212.59,72.5757,71.7382,70.0417,75.4895,-15.89
Hawaii,1,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,3306.57,3004.93,1797.98,1368.91,54.2297,56.3861,47.8701,46.7047,-23.86
Hawaii,2,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,583.49,275.96,269.38,276.38,9.5696,5.1783,7.1721,9.4295,2.6
Hawaii,3,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,119.33,118.28,127.62,131.65,1.9571,2.2194,3.3979,4.4917,3.16
Hawaii,4,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,85.85,92.1,107.64,90.7,1.408,1.7282,2.866,3.0945,-15.74
Hawaii,5,270112,"BITUMINOUS COAL, NOT AGGLOMERATED",40.7,46.34,43.12,44.19,0.6675,0.8696,1.1481,1.5078,2.48
Hawaii,6,854140,PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL,36.69,29.73,24.28,33.62,0.6017,0.5579,0.6465,1.147,38.46
Hawaii,7,30487,"TUNA, SKIPJACK/STRIPE-BELLIED BONITO FILLET F",4.23,12.99,23.18,25.2,0.0694,0.2438,0.6172,0.8597,8.69
Hawaii,8,761010,ALU DOR WIN AND THEIR FRA AND THRES FOR DOORS,3.73,5.4,30.56,23.59,0.0611,0.1013,0.8137,0.8049,-22.81
Hawaii,9,940340,"WOODEN KITCHEN FURNITURE, EXCEPT SEATS",13.66,16.3,15.25,23.07,0.224,0.3059,0.406,0.7872,51.29
Hawaii,10,711319,"JEWELRY AND PARTS THEREOF, OF OTH PRECIOUS ME",26.99,24.45,18.85,21.78,0.4427,0.4587,0.5019,0.743,15.52
Hawaii,11,252329,PORTLAND CEMENT EXCEPT WHITE PORTLAND CEMENT,13.7,16.5,22.56,18.68,0.2248,0.3096,0.6006,0.6372,-17.21
Hawaii,12,870322,"PASS MTR VEH,SPARK IGN ENG, >1000CC BUT =<150",34.54,9.58,6.68,17.19,0.5664,0.1798,0.1779,0.5865,157.31
Hawaii,13,220300,BEER MADE FROM MALT,12.79,16.56,16.08,16.96,0.2098,0.3107,0.428,0.5786,5.49
Hawaii,14,271112,"PROPANE, LIQUEFIED",22.06,28.7,20.42,14.27,0.3618,0.5385,0.5437,0.487,-30.1
Hawaii,15,940360,"WOODEN FURNITURE, NESOI",16.07,14.49,12.43,14.04,0.2635,0.2719,0.3309,0.4791,12.98
Hawaii,16,20230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",13.7,14.7,19.14,13.51,0.2247,0.2758,0.5097,0.4609,-29.44
Hawaii,17,251710,"PEBBLES, GRAVEL ETC. FOR CONCRETE AGGREGATES",19.27,35.18,18.22,11.96,0.3161,0.6602,0.4852,0.4082,-34.35
Hawaii,18,441820,"DOORS AND THEIR FRAMES AND THRESHOLDS, OF WOO",4.54,4.21,4.36,9.8,0.0744,0.079,0.116,0.3343,124.89
Hawaii,19,190590,"BREAD, PASTRY, CAKES, ETC NESOI & PUDDINGS",9.47,8.64,8.39,9.43,0.1552,0.1621,0.2234,0.3216,12.36
Hawaii,20,940161,"SEATS W WOODEN FRAMES, UPHOLSTERED, NESOI",8.97,9.93,8.69,8.75,0.1471,0.1863,0.2313,0.2985,0.71
Hawaii,21,420292,"CONTAINER BAGS, CASES ETC NESOI, PLAST/TEXT M",8.49,9.45,8.67,8.67,0.1393,0.1774,0.231,0.2958,-0.04
Hawaii,22,950629,WATERSKIS SURFBRD WTR-SPRT EQ EX SLBRD; PTS &,9.64,9.59,8.28,8.64,0.1581,0.1799,0.2205,0.2947,4.33
Hawaii,23,730890,STRUCTURES AND PARTS NESOI OF IRON OR STEEL,16.82,4.68,2.65,7.56,0.2759,0.0878,0.0706,0.258,185.12
Hawaii,24,940350,"WOODEN BEDROOM  FURNITURE, EXCEPT SEATS",6.28,6.13,6.84,7.06,0.1031,0.1151,0.1822,0.2408,3.14
Hawaii,25,392321,SACKS & BAGS (INCL CONES) OF POLYMERS OF ETHY,7.61,8.26,9.44,6.98,0.1248,0.1549,0.2512,0.2381,-26.05
Idaho,0,0,World,5544.76,5695.6,5165.62,4493.92,0.2445,0.2417,0.2298,0.2054,-13
Idaho,0,25,Top 25,3414.54,3447.22,3188.7,2878.48,61.5813,60.5243,61.7293,64.0527,-9.73
Idaho,1,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,514.6,935.79,1046.41,938.11,9.2808,16.4301,20.2573,20.8752,-10.35
Idaho,2,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",2186.53,1727.64,1152.01,509.37,39.4341,30.3329,22.3014,11.3348,-55.78
Idaho,3,852351,SOLID-STATE NON-VOL SEMICONDUCTOR STORAGE DEV,1.7,3.14,89.81,339.95,0.0306,0.0551,1.7386,7.5647,278.53
Idaho,4,848620,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC I,58.02,136.5,215.11,131.56,1.0463,2.3966,4.1644,2.9275,-38.84
Idaho,5,440710,"CONIFEROUS WOOD SAWN, SLICED ETC, OVER 6 MM T",67.92,80.39,75.28,117.85,1.225,1.4114,1.4573,2.6224,56.55
Idaho,6,441012,"ORIENTED STRAND BOARD (OSB), OF WOOD",36.92,30.07,29.8,72.59,0.6659,0.5279,0.5768,1.6154,143.64
Idaho,7,853340,VARIABLE RESISTORS INC RHEOSTAT & POTNTIOMTR,47.21,49.68,43.5,66.05,0.8515,0.8722,0.8421,1.4699,51.86
Idaho,8,230641,RAPE/COLZA SEED OILCAKE&SOLID RES. LOW ERUCIC,93.45,82.13,62.26,62.09,1.6855,1.4419,1.2052,1.3816,-0.27
Idaho,9,854140,PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL,0.68,1.29,1.79,55.95,0.0122,0.0227,0.0346,1.2451,3026.18
Idaho,10,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT,",32.06,104.2,85.13,55.24,0.5783,1.8294,1.6481,1.2291,-35.12
Idaho,11,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,24.85,18.57,19.46,49.57,0.4481,0.3261,0.3767,1.103,154.72
Idaho,12,20230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",35.78,0.62,10.82,45.21,0.6453,0.0109,0.2095,1.0061,317.73
Idaho,13,903141,OPTICAL INST FOR INSPECTING SEMICONDUCTOR WAF,41.85,41.88,64.25,43.63,0.7549,0.7352,1.2438,0.9709,-32.09
Idaho,14,853400,PRINTED CIRCUITS,43.68,46.9,41.39,42.11,0.7877,0.8234,0.8012,0.9372,1.76
Idaho,15,281410,ANHYDROUS AMMONIA,48.06,48.82,55.49,41.27,0.8668,0.8572,1.0743,0.9183,-25.64
Idaho,16,310210,"UREA, WHETHER OR NOT IN AQUEOUS SOLUTION",36.74,14.39,14.23,37.32,0.6626,0.2527,0.2754,0.8305,162.36
Idaho,17,293359,"COMP WITH PYRIMIDINE OR PIPERAZINE RING, NESO",0,0,0,36.72,0,0,0,0.817,0
Idaho,18,853669,ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000,8.57,13.57,40,35.24,0.1546,0.2383,0.7744,0.7842,-11.9
Idaho,19,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,2.27,5.76,27.83,34.37,0.0409,0.1012,0.5387,0.7648,23.51
Idaho,20,710691,"SILVER, UNWROUGHT NESOI",48.6,22.32,17.62,33.55,0.8765,0.3919,0.3412,0.7465,90.36
Idaho,21,470329,"CHEM WOODPULP, SODA ETC, N DIS S BL & BL NONC",39.73,42.17,34.67,32.07,0.7166,0.7404,0.6711,0.7136,-7.5
Idaho,22,730890,STRUCTURES AND PARTS NESOI OF IRON OR STEEL,5.34,4.83,4.29,27.27,0.0963,0.0848,0.0831,0.6068,535.64
Idaho,23,200899,"FRUIT & EDIBLE PLANT PARTS NESOI, PREP ETC. N",5.78,5.18,16.74,24.21,0.1042,0.0909,0.324,0.5388,44.65
Idaho,24,151419,"RAPESEED/COLZA OIL & FRACTIONS, LW ERUCIC ACI",29.81,22.72,25.53,24.21,0.5377,0.3988,0.4943,0.5387,-5.19
